CustomerID,Customer Name,Customer Address,Gender,Annual Income,Phone
Johanna116/56NicholsonStMale4570007019166,Johanna,116/56 Nicholson St,Male,457000,7019166
Joselyn159ParkStMale11350007134389,Joselyn,159 Park St,Male,1135000,7134389
Julia49/84TrenerryCrFemale7000008364023,Julia,49/84 Trenerry Cr,Female,700000,8364023
Juliana31TurnerStMale15420007546455,Juliana,31 Turner St,Male,1542000,7546455
Julianna17/1AbbotStFemale9620006194175,Julianna,17/1 Abbot St,Female,962000,6194175
Juliet166GippsStMale12900007025992,Juliet,166 Gipps St,Male,1290000,7025992
Juliette60StaffordStMale12900008164247,Juliette,60 Stafford St,Male,1290000,8164247
Julissa11/205GippsStMale4700006988136,Julissa,11/205 Gipps St,Male,470000,6988136
Kaelyn47StudleyStMale11800008690744,Kaelyn,47 Studley St,Male,1180000,8690744
Kailey45YarraStMale11950008027275,Kailey,45 Yarra St,Male,1195000,8027275
Kailyn4/328JohnstonStFemale135008740005,Kailyn,4/328 Johnston St,Female,13500,8740005
Kaitlyn200NicholsonStMale10125007058375,Kaitlyn,200 Nicholson St,Male,1012500,7058375
Kamila82/84TrenerryCrFemale9700007599809,Kamila,82/84 Trenerry Cr,Female,970000,7599809
Karen27CharlesStMale10300006038590,Karen,27 Charles St,Male,1030000,6038590
Karla22ParkStFemale135007539875,Karla,22 Park St,Female,13500,7539875
Kate40/80TrenerryCrFemale9270006862992,Kate,40/80 Trenerry Cr,Female,927000,6862992
Katelyn154HalseyRdMale8400006503890,Katelyn,154 Halsey Rd,Male,840000,6503890
Katelynn50BedfordStMale7300007275191,Katelynn,50 Bedford St,Male,730000,7275191
Katherine50BedfordStMale7700008835994,Katherine,50 Bedford St,Male,770000,8835994
Katie5HarringtonRdMale135008982126,Katie,5 Harrington Rd,Male,13500,8982126
Kayla23HartStMale6030008879181,Kayla,23 Hart St,Male,603000,8879181
Kaylee1/80HawkerStMale7000008138829,Kaylee,1/80 Hawker St,Male,700000,8138829
Kayleen1/37HillsideGrMale6000006872309,Kayleen,1/37 Hillside Gr,Male,600000,6872309
Kayleigh2/49McIntoshStMale5000007514641,Kayleigh,2/49 McIntosh St,Male,500000,7514641
Kaylie4/9WestCtFemale4200007088700,Kaylie,4/9 West Ct,Female,420000,7088700
Kaylin1/36YorkStFemale5000008458735,Kaylin,1/36 York St,Female,500000,8458735
Keily33BowesAvFemale10350006244359,Keily,33 Bowes Av,Female,1035000,6244359
Kelly89BowesAvFemale9600008804792,Kelly,89 Bowes Av,Female,960000,8804792
Keyla45LaurenceAvFemale9600006373366,Keyla,45 Laurence Av,Female,960000,6373366
Khloe54MarshallRdMale7200006799958,Khloe,54 Marshall Rd,Male,720000,6799958
Kiara36RobertsRdMale7850008005217,Kiara,36 Roberts Rd,Male,785000,8005217
Kimberly11HarringtonRdMale7250006988989,Kimberly,11 Harrington Rd,Male,725000,6988989
Krystal2/252ParerRdMale4500008155813,Krystal,2/252 Parer Rd,Male,450000,8155813
Kylee3/19HartStMale5150006863920,Kylee,3/19 Hart St,Male,515000,6863920
Kylie81aRobertsRdFemale6800007886047,Kylie,81a Roberts Rd,Female,680000,7886047
Laila2/62ClydesdaleRdMale5300006816141,Laila,2/62 Clydesdale Rd,Male,530000,6816141
Laura3DeidreCtMale8950006228155,Laura,3 Deidre Ct,Male,895000,6228155
Lauren3/24ElstoneAvFemale6000006615917,Lauren,3/24 Elstone Av,Female,600000,6615917
Layla13EtzelStMale8050006595968,Layla,13 Etzel St,Male,805000,6595968
Lea37aNorthStFemale7600008069059,Lea,37a North St,Female,760000,8069059
Leah1/43CameronStMale7520006327743,Leah,1/43 Cameron St,Male,752000,6327743
Leila1/69BowesAvFemale5800008019490,Leila,1/69 Bowes Av,Female,580000,8019490
Leilani2/9ElRenoCrFemale7250008588830,Leilani,2/9 El Reno Cr,Female,725000,8588830
Lesley92McNamaraAvFemale7580007580374,Lesley,92 McNamara Av,Female,758000,7580374
Leslie145aVictoryRdMale4400008766594,Leslie,145a Victory Rd,Male,440000,8766594
Lesly20CreswellAvFemale9700007618560,Lesly,20 Creswell Av,Female,970000,7618560
Leyla241ParerRdMale7550007460379,Leyla,241 Parer Rd,Male,755000,7460379
Lia71BowesAvFemale9850008282706,Lia,71 Bowes Av,Female,985000,8282706
Liana2/40EarlStMale7000008232134,Liana,2/40 Earl St,Male,700000,8232134
Liliana2/112ParerRdFemale5095007033655,Liliana,2/112 Parer Rd,Female,509500,7033655
Lily180ParerRdMale8300006677245,Lily,180 Parer Rd,Male,830000,6677245
Lindsay4/54HawkerStMale4625007765322,Lindsay,4/54 Hawker St,Male,462500,7765322
Lizbeth43HillsideGrMale6700006872525,Lizbeth,43 Hillside Gr,Male,670000,6872525
London174ParerRdMale6750006002998,London,174 Parer Rd,Male,675000,6002998
Lucia138VictoryRdMale10420008928661,Lucia,138 Victory Rd,Male,1042000,8928661
Luna75KingStMale9100007135308,Luna,75 King St,Male,910000,7135308
Luz6KittyhawkStMale7730006125793,Luz,6 Kittyhawk St,Male,773000,6125793
Madeline7McNamaraAvFemale7150006285620,Madeline,7 McNamara Av,Female,715000,6285620
Madelyn478FullartonRdMale8100008806094,Madelyn,478 Fullarton Rd,Male,810000,8806094
Madison144MarshallRdMale7150007485080,Madison,144 Marshall Rd,Male,715000,7485080
Makayla106ParerRdMale7900008635781,Makayla,106 Parer Rd,Male,790000,8635781
Maria1/41HillsideGrFemale4600007283681,Maria,1/41 Hillside Gr,Female,460000,7283681
Mariah3/7SouthRdMale5400008896135,Mariah,3/7 South Rd,Male,540000,8896135
Mariana37NorthStMale8250008196804,Mariana,37 North St,Male,825000,8196804
Marilyn10HilbertRdMale6850007972719,Marilyn,10 Hilbert Rd,Male,685000,7972719
Marisol7/42YorkStFemale4450007390232,Marisol,7/42 York St,Female,445000,7390232
Maya110HalseyRdMale8050008101678,Maya,110 Halsey Rd,Male,805000,8101678
Megan2/13NorthStMale5100008755338,Megan,2/13 North St,Male,510000,8755338
Melanie105aVictoryRdMale6120008291553,Melanie,105a Victory Rd,Male,612000,8291553
Melany117MarshallRdMale6620006295734,Melany,117 Marshall Rd,Male,662000,6295734
Melissa34MoornaDrMale9780006498035,Melissa,34 Moorna Dr,Male,978000,6498035
Melody2/89MarshallRdFemale135007947220,Melody,2/89 Marshall Rd,Female,13500,7947220
Mia33NorthStMale7200007479865,Mia,33 North St,Male,720000,7479865
Miah4/40McNamaraAvFemale4740006617011,Miah,4/40 McNamara Av,Female,474000,6617011
Michelle5/93McNamaraAvFemale4900007395060,Michelle,5/93 McNamara Av,Female,490000,7395060
Mikaela2/137McNamaraAvFemale4050007221911,Mikaela,2/137 McNamara Av,Female,405000,7221911
Mikayla1/46BowesAvFemale7150007612460,Mikayla,1/46 Bowes Av,Female,715000,7612460
Mila1/34ElstoneAvFemale6715008089010,Mila,1/34 Elstone Av,Female,671500,8089010
Miley49RobertsRdMale7650008430439,Miley,49 Roberts Rd,Male,765000,8430439
Miranda85RobertsRdMale9000007031083,Miranda,85 Roberts Rd,Male,900000,7031083
Miriam22aWaltersAvFemale8200008471190,Miriam,22a Walters Av,Female,820000,8471190
Mya1/145ParerRdFemale6500007774563,Mya,1/145 Parer Rd,Female,650000,7774563
Nadia3/35WaltersAvFemale5520008716913,Nadia,3/35 Walters Av,Female,552000,8716913
Nancy105KerferdRdMale12750008732635,Nancy,105 Kerferd Rd,Male,1275000,8732635
Natalia112BeaconsfieldPdeMale28500007647213,Natalia,112 Beaconsfield Pde,Male,2850000,7647213
Natalie94GrahamStMale18500007963029,Natalie,94 Graham St,Male,1850000,7963029
Nataly14MertonStMale135006762376,Nataly,14 Merton St,Male,13500,6762376
Natasha396MontagueStMale14360006594733,Natasha,396 Montague St,Male,1436000,6594733
Nathalia9BoydStMale135008853560,Nathalia,9 Boyd St,Male,13500,8853560
Nathalie75GrahamStMale11100008724372,Nathalie,75 Graham St,Male,1110000,8724372
Nathaly54BrookeStMale15500008769804,Nathaly,54 Brooke St,Male,1550000,8769804
Nayeli104RichardsonStMale23000007446612,Nayeli,104 Richardson St,Male,2300000,7446612
Nevaeh81RichardsonStMale135008795584,Nevaeh,81 Richardson St,Male,13500,8795584
Nicole4aMillsStMale15500007004631,Nicole,4a Mills St,Male,1550000,7004631
Nina1MoubrayStMale18000008582417,Nina,1 Moubray St,Male,1800000,8582417
Noemi114VictoriaAvFemale24850008002189,Noemi,114 Victoria Av,Female,2485000,8002189
Nyla29FaussettStMale21200007616743,Nyla,29 Faussett St,Male,2120000,7616743
Olivia3HerbertStMale18000008520184,Olivia,3 Herbert St,Male,1800000,8520184
Paola24KerferdPlMale18000007570002,Paola,24 Kerferd Pl,Male,1800000,7570002
Penelope5WithersStMale135007415369,Penelope,5 Withers St,Male,13500,7415369
Perla44DraperStMale18100006388783,Perla,44 Draper St,Male,1810000,6388783
Rachel2DundasPlMale26150008165740,Rachel,2 Dundas Pl,Male,2615000,8165740
Raquel23FinlayStMale21000008052947,Raquel,23 Finlay St,Male,2100000,8052947
Rebecca31RichardsonStMale13000007797157,Rebecca,31 Richardson St,Male,1300000,7797157
Rihanna4aGatehouseLaMale13700007268434,Rihanna,4a Gatehouse La,Male,1370000,7268434
Riley60BrookeStMale10000006586282,Riley,60 Brooke St,Male,1000000,6586282
Rosa140DanksStMale135007645687,Rosa,140 Danks St,Male,13500,7645687
Rose70BarrettStMale25750006548230,Rose,70 Barrett St,Male,2575000,6548230
Roselyn65GrahamStMale13225006024425,Roselyn,65 Graham St,Male,1322500,6024425
Ruby1HerbertPlMale135006740906,Ruby,1 Herbert Pl,Male,13500,6740906
Sabrina364MontagueStMale15625008064818,Sabrina,364 Montague St,Male,1562500,8064818
Sadie86MillsStMale20000007807481,Sadie,86 Mills St,Male,2000000,7807481
Samantha28DinsdaleStMale135006010659,Samantha,28 Dinsdale St,Male,13500,6010659
Samara90DanksStMale135008092134,Samara,90 Danks St,Male,13500,8092134
Sara129KerferdRdMale19000008152791,Sara,129 Kerferd Rd,Male,1900000,8152791
Sarah97PageStMale30100006826177,Sarah,97 Page St,Male,3010000,6826177
Sarai36AshworthStMale135008836166,Sarai,36 Ashworth St,Male,13500,8836166
Sariah55WithersStMale28000006844227,Sariah,55 Withers St,Male,2800000,6844227
Sasha18HerbertStMale135008266098,Sasha,18 Herbert St,Male,13500,8266098
Savanna10/140KerferdRdMale6470008872486,Savanna,10/140 Kerferd Rd,Male,647000,8872486
Savannah9MertonPlMale135006266144,Savannah,9 Merton Pl,Male,13500,6266144
Scarlet55MertonStMale21000008346236,Scarlet,55 Merton St,Male,2100000,8346236
Scarlett16DinsdaleStMale135008331205,Scarlett,16 Dinsdale St,Male,13500,8331205
Selena51GrahamStMale135008830216,Selena,51 Graham St,Male,13500,8830216
Serenity143KerferdRdFemale135008755273,Serenity,143 Kerferd Rd,Female,13500,8755273
Sherlyn49PageStMale20000006082505,Sherlyn,49 Page St,Male,2000000,6082505
Shirley13/52MoubrayStMale4425008967853,Shirley,13/52 Moubray St,Male,442500,8967853
Sienna115PageStMale47350008680832,Sienna,115 Page St,Male,4735000,8680832
Skyla32PageStMale13400007368875,Skyla,32 Page St,Male,1340000,7368875
Skylar34RichardsonStMale18010007478336,Skylar,34 Richardson St,Male,1801000,7478336
Sofia2bDundasPlMale15320006690653,Sofia,2b Dundas Pl,Male,1532000,6690653
Sophia22GreigStMale37550006407820,Sophia,22 Greig St,Male,3755000,6407820
Sophie27BarrettStMale21400008655744,Sophie,27 Barrett St,Male,2140000,8655744
Stacy3FaussettStFemale18100006690603,Stacy,3 Faussett St,Female,1810000,6690603
Stella44GreigStMale17500007267113,Stella,44 Greig St,Male,1750000,7267113
Stephanie6BrookeStMale9800007050740,Stephanie,6 Brooke St,Male,980000,7050740
Stephany7HerbertPlMale135007207345,Stephany,7 Herbert Pl,Male,13500,7207345
Tatiana8KerferdPlMale135006814756,Tatiana,8 Kerferd Pl,Male,13500,6814756
Taylor5ReedStMale135008519023,Taylor,5 Reed St,Male,13500,8519023
Tiana227aDanksStMale20300008349770,Tiana,227a Danks St,Male,2030000,8349770
Tiffany17ReedStMale17400007192845,Tiffany,17 Reed St,Male,1740000,7192845
Valentina74BridportStMale28000008231045,Valentina,74 Bridport St,Male,2800000,8231045
Valeria9DurhamStMale9850007005538,Valeria,9 Durham St,Male,985000,7005538
Valerie30AustinStMale135008904235,Valerie,30 Austin St,Male,13500,8904235
Vanessa6SmithStMale20000008337679,Vanessa,6 Smith St,Male,2000000,8337679
Veronica5/6YarraleaStMale11100008153712,Veronica,5/6 Yarralea St,Male,1110000,8153712
Victoria136AFulhamRdMale14920006576726,Victoria,136A Fulham Rd,Male,1492000,6576726
Violet1/9RoemerCrFemale4800008277119,Violet,1/9 Roemer Cr,Female,480000,8277119
Viviana4TuckettStMale135007824592,Viviana,4 Tuckett St,Male,13500,7824592
Wendy2/21FulhamRdFemale13040006471284,Wendy,2/21 Fulham Rd,Female,1304000,6471284
Ximena44ShiersStMale17175006322537,Ximena,44 Shiers St,Male,1717500,6322537
Yamilet83FulhamRdMale28400006519845,Yamilet,83 Fulham Rd,Male,2840000,6519845
Yaretzi29AlphingtonStMale135006341250,Yaretzi,29 Alphington St,Male,13500,6341250
Zoe3/19HarkerStMale5255008349697,Zoe,3/19 Harker St,Male,525500,8349697
Zoey4/2MillerStMale8050006972243,Zoey,4/2 Miller St,Male,805000,6972243
Abigail2/5YaranaRdMale4650008814261,Abigail,2/5 Yarana Rd,Male,465000,8814261
Addison4/5ChandlerHwyFemale135008235388,Addison,4/5 Chandler Hwy,Female,13500,8235388
Adele69LucerneCrFemale14800007464402,Adele,69 Lucerne Cr,Female,1480000,7464402
Adeline815HeidelbergRdMale20000006095519,Adeline,815 Heidelberg Rd,Male,2000000,6095519
Adina44NaroonRdMale15400008018969,Adina,44 Naroon Rd,Male,1540000,8018969
Adriana11TowerAvFemale135008462731,Adriana,11 Tower Av,Female,13500,8462731
Adrianna1/17RexAvFemale5900007820916,Adrianna,1/17 Rex Av,Female,590000,7820916
Ahuva3/98GrangeRdMale8200007696942,Ahuva,3/98 Grange Rd,Male,820000,7696942
Alessandra10BennettStMale18300006779640,Alessandra,10 Bennett St,Male,1830000,6779640
Alessia38BennettStMale21000007510752,Alessia,38 Bennett St,Male,2100000,7510752
Alexa2cHamiltonStMale8650008876760,Alexa,2c Hamilton St,Male,865000,8876760
Alexandra5/5YaranaRdMale3900006573292,Alexandra,5/5 Yarana Rd,Male,390000,6573292
Alexis7/7ChandlerHwyMale6500007975408,Alexis,7/7 Chandler Hwy,Male,650000,7975408
Alice1/14FulhamRdMale5120008668216,Alice,1/14 Fulham Rd,Male,512000,8668216
Alicia17LowtherStFemale13610006292391,Alicia,17 Lowther St,Female,1361000,6292391
Alina29NaroonRdMale135006508120,Alina,29 Naroon Rd,Male,13500,6508120
Alisa13aFulhamRdFemale13100006753526,Alisa,13a Fulham Rd,Female,1310000,6753526
Aliza32/23CoateAvFemale5700007048533,Aliza,32/23 Coate Av,Female,570000,7048533
Allison22LowtherStMale11650008192876,Allison,22 Lowther St,Male,1165000,8192876
Alyssa6/11BroomfieldAvFemale5300006818792,Alyssa,6/11 Broomfield Av,Female,530000,6818792
Amanda11MargaretGrMale19000008994646,Amanda,11 Margaret Gr,Male,1900000,8994646
Amelia21ComoStMale135008702891,Amelia,21 Como St,Male,13500,8702891
Amelie6NaroonRdFemale14850007850720,Amelie,6 Naroon Rd,Female,1485000,7850720
Amina42ShiersStMale19500006919595,Amina,42 Shiers St,Male,1950000,6919595
Amira158QueenStMale5200006514513,Amira,158 Queen St,Male,520000,6514513
Amy59BrackenGrMale15250007275738,Amy,59 Bracken Gr,Male,1525000,7275738
Anastasia1/123BlythStMale7200006070508,Anastasia,1/123 Blyth St,Male,720000,6070508
Angelica4BlythStMale11200007605575,Angelica,4 Blyth St,Male,1120000,7605575
Angelina20LinnetStMale7800006588787,Angelina,20 Linnet St,Male,780000,6588787
Anna29RoseStMale17800006923959,Anna,29 Rose St,Male,1780000,6923959
Annabel1/170BlythStMale6300007855744,Annabel,1/170 Blyth St,Male,630000,7855744
Annabelle5/35GrievePdeMale4060008792918,Annabelle,5/35 Grieve Pde,Male,406000,8792918
Ariana156MaidstoneStMale6600007280545,Ariana,156 Maidstone St,Male,660000,7280545
Arianna11KeeshanCtMale6835007270320,Arianna,11 Keeshan Ct,Male,683500,7270320
Ariel1/4DeaveyCtFemale5400007465456,Ariel,1/4 Deavey Ct,Female,540000,7465456
Ariela1/136QueenStMale5800008268210,Ariela,1/136 Queen St,Male,580000,8268210
Ariella173QueenStMale13350008831355,Ariella,173 Queen St,Male,1335000,8831355
Ashley1/265QueenStMale8000008486477,Ashley,1/265 Queen St,Male,800000,8486477
Atara3/26GrievePdeMale5100008954185,Atara,3/26 Grieve Pde,Male,510000,8954185
Aubrey261QueenStMale10700007825808,Aubrey,261 Queen St,Male,1070000,7825808
Audrey4/5RoseStMale4250007802872,Audrey,4/5 Rose St,Male,425000,7802872
Autumn1/60DavidStMale6050008060906,Autumn,1/60 David St,Male,605000,8060906
Ava1AMerrittCtMale7050008283516,Ava,1A Merritt Ct,Male,705000,8283516
Avery4/31MillersRdMale3910007758857,Avery,4/31 Millers Rd,Male,391000,7758857
Avigail111/112PierStMale4400008968018,Avigail,111/112 Pier St,Male,440000,8968018
Aviva24WrenStMale8450008697617,Aviva,24 Wren St,Male,845000,8697617
Ayla54SevesStFemale7660006888799,Ayla,54 Seves St,Female,766000,6888799
Baila1/152BlythStMale7430007890327,Baila,1/152 Blyth St,Male,743000,7890327
Barbara2/6GalvinStFemale6500007516976,Barbara,2/6 Galvin St,Female,650000,7516976
Batsheva4/57BlythStMale7300007588730,Batsheva,4/57 Blyth St,Male,730000,7588730
Batya10WilgaAvFemale9165007003599,Batya,10 Wilga Av,Female,916500,7003599
Beatrice164MaidstoneStMale6350006399311,Beatrice,164 Maidstone St,Male,635000,6399311
Bella3/25RaynerStMale6200008154210,Bella,3/25 Rayner St,Male,620000,8154210
Bianca3/46SargoodStMale4470007514880,Bianca,3/46 Sargood St,Male,447000,7514880
Blake1/57BlythStMale7300007255360,Blake,1/57 Blyth St,Male,730000,7255360
Blima22FenfieldStMale6780008198527,Blima,22 Fenfield St,Male,678000,8198527
Blimy5/8DavidStMale5800008667116,Blimy,5/8 David St,Male,580000,8667116
Bracha1/28SevesStMale7120006232337,Bracha,1/28 Seves St,Male,712000,6232337
Breindy27McIntyreDrMale8400008149932,Breindy,27 McIntyre Dr,Male,840000,8149932
Brianna4BoydStMale9800008292566,Brianna,4 Boyd St,Male,980000,8292566
Bridget5aEmuAvFemale10000006371033,Bridget,5a Emu Av,Female,1000000,6371033
Brooke12SpearCtMale6051008123776,Brooke,12 Spear Ct,Male,605100,8123776
Brooklyn185QueenStMale8800008215117,Brooklyn,185 Queen St,Male,880000,8215117
Brucha3/20MulgaStMale5770007913690,Brucha,3/20 Mulga St,Male,577000,7913690
Bruchy95BlythStMale135006889400,Bruchy,95 Blyth St,Male,13500,6889400
Brynn51MillersRdMale10300007277502,Brynn,51 Millers Rd,Male,1030000,7277502
Caitlin2/119RailwayStNMale6050008783805,Caitlin,2/119 Railway St N,Male,605000,8783805
Cameron12RansomAvFemale6850008900007,Cameron,12 Ransom Av,Female,685000,8900007
Caroline2/5RoseStMale135007564300,Caroline,2/5 Rose St,Male,13500,7564300
Casey24McIntyreDrMale7530007173808,Casey,24 McIntyre Dr,Male,753000,7173808
Catherine104MaidstoneStMale8570006791903,Catherine,104 Maidstone St,Male,857000,6791903
Cecilia49BentStMale15000008568822,Cecilia,49 Bent St,Male,1500000,8568822
Celia5/57BlythStMale7300008770473,Celia,5/57 Blyth St,Male,730000,8770473
Chana15KookaburraStMale9000008966255,Chana,15 Kookaburra St,Male,900000,8966255
Chany219CivicPdeMale7400008016085,Chany,219 Civic Pde,Male,740000,8016085
Charlie3CurtinCtMale9310007279924,Charlie,3 Curtin Ct,Male,931000,7279924
Charlotte2/60DavidStMale5356007219562,Charlotte,2/60 David St,Male,535600,7219562
Chava1BeuronRdMale135007943981,Chava,1 Beuron Rd,Male,13500,7943981
Chavy45HearnStMale10850007094649,Chavy,45 Hearn St,Male,1085000,7094649
Chaya4KnappStMale7810006652004,Chaya,4 Knapp St,Male,781000,6652004
Chloe103SixthAvFemale8575006761540,Chloe,103 Sixth Av,Female,857500,6761540
Christina80AHansenStFemale9600008731932,Christina,80A Hansen St,Female,960000,8731932
Claire21HatherleyGrMale7500007265017,Claire,21 Hatherley Gr,Male,750000,7265017
Clara3/66MarionStMale4210006394204,Clara,3/66 Marion St,Male,421000,6394204
Colette153MillsStMale14050008044928,Colette,153 Mills St,Male,1405000,8044928
Cora1/70MistenAvFemale135008507740,Cora,1/70 Misten Av,Female,13500,8507740
Dahlia33CarthyStMale6830006577759,Dahlia,33 Carthy St,Male,683000,6577759
Daisy47GiniferAvFemale135008982448,Daisy,47 Ginifer Av,Female,13500,8982448
Dalia16HarrisStMale6230006795744,Dalia,16 Harris St,Male,623000,6795744
Daniela1/5LittleStMale7200006482307,Daniela,1/5 Little St,Male,720000,6482307
Daniella58aClematisAvFemale7800008602171,Daniella,58a Clematis Av,Female,780000,8602171
Danielle1/77HansenStFemale7200008886146,Danielle,1/77 Hansen St,Female,720000,8886146
Devora21JoelAvFemale7050008454382,Devora,21 Joel Av,Female,705000,8454382
Devorah1/95MillsStMale5880006741359,Devorah,1/95 Mills St,Male,588000,6741359
Diana2/5StapleyCrFemale7200007934225,Diana,2/5 Stapley Cr,Female,720000,7934225
Dina5BinnsStMale7100008933521,Dina,5 Binns St,Male,710000,8933521
Dylan2/9FirstAvFemale5500007309825,Dylan,2/9 First Av,Female,550000,7309825
Eden1/28IrwinAvFemale6400008738104,Eden,1/28 Irwin Av,Female,640000,8738104
Eleanor3/49MistenAvFemale5375007879062,Eleanor,3/49 Misten Av,Female,537500,7879062
Elena29aTheBroadwayFemale135008920735,Elena,29a The Broadway,Female,13500,8920735
Eliana25AllanStMale8750006801529,Eliana,25 Allan St,Male,875000,6801529
Elise9FourthAvFemale8000008963494,Elise,9 Fourth Av,Female,800000,8963494
Elisheva11aEdwardAvFemale7135006234443,Elisheva,11a Edward Av,Female,713500,6234443
Eliza45FreemansRdMale135007033771,Eliza,45 Freemans Rd,Male,13500,7033771
Elizabeth21HatherleyGrMale7000008993253,Elizabeth,21 Hatherley Gr,Male,700000,8993253
Ella1BPaprothGrFemale5510006299464,Ella,1B Paproth Gr,Female,551000,6299464
Elle7SeventhAvFemale6850008275030,Elle,7 Seventh Av,Female,685000,8275030
Elliana1/256MasonStMale6400007456278,Elliana,1/256 Mason St,Male,640000,7456278
Ellie21AllanStMale6500006245041,Ellie,21 Allan St,Male,650000,6245041
Eloise56aFirstAvFemale9250008515351,Eloise,56a First Av,Female,925000,8515351
Emerson63aFirstAvFemale135007061714,Emerson,63a First Av,Female,13500,7061714
Emilia59MistenAvFemale135006181305,Emilia,59 Misten Av,Female,13500,6181305
Emily85aFirstAvFemale6700007917059,Emily,85a First Av,Female,670000,7917059
Emma22JoelAvFemale6800006279405,Emma,22 Joel Av,Female,680000,6279405
Erin11MahonAvFemale7650006317610,Erin,11 Mahon Av,Female,765000,6317610
Ester2/36MayStMale6750006250827,Ester,2/36 May St,Male,675000,6250827
